Facility Name,GLOBALID,Address,City,Zip Code,Phone Number,created_user,created_date,last_edited_user,last_edited_date,OBJECTID,Photo,Bus Route,Monday Opening Time,Monday Closing Time,Tuesday Opening Time,Tuesday Closing Time,Wednesday Opening Time,Wednesday Closing Time,Thursday Opening Time,Thursday Closing Time,Friday Opening Time,Friday Closing Time,Saturday Opening Time,Saturday Closing Time,Sunday Opening Time,Sunday Closing Time,Books and Materials?,Downloadable Materials?,Streaming Materials?,Story Times?,Conference Center?,Meeting Rooms?,Art Gallery?,Public Computers?,Wireless?,Group Study?,Copy Machines?,Seed Exchange?,Studio NPL?,Restrooms?,Book Drop?,Notes,x,y
Edgehill,babeb9d5-d990-422a-b9e3-07e258429be0,1409 12th Ave S,Nashville,37203,615-862-5861,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,1,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EH.jpg),#17,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1735790.70229167,658389.481250003
Bellevue,1591103c-a036-4beb-a66c-bbb465ce0be3,720 Baugh Rd,Nashville,37221,615-862-5854,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,2,View Photo (http://dataimages.nashville.gov/Metro_Libraries/new-bellevue_cropped.jpg),"#24x, #31,# 5",10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1691684.893125,633346.402500004
Bordeaux,f3311995-fe56-417b-8804-f56a629eed7a,4000 Clarksville Pike,Nashville,37218,615-862-5856,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,3,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_BX.jpg),#22,10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1721283.86791667,684690.56583333
East,813281c6-800f-40ef-9513-de1588f90405,206 Gallatin Rd,Nashville,37206,615-862-5860,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,4,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_E.jpg),"#20, #26",10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1747093.23604167,672668.74270834
Edmondson Pike,f2bc8fc4-b502-4255-858e-3269f8a746a2,5501 Edmondson Pike,Nashville,37211,615-880-3957,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,5,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EP.jpg),"#37, #72",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"CLOSED for renovation until May 2016
Call library to confirm hours on holidays and in the event of severe weather.",1748173.41833334,623877.74166666
Goodlettsville,f0207a00-5027-4424-85ab-280182125acf,205 Rivergate Pkwy,Goodlettsville,37072,615-862-5862,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,6,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_go_new_small.jpg),,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday. Call library to confirm hours on holidays and in the event of severe weather.,1759091.91354166,721984.624166667
Green Hills,33b5a870-57e3-4f3d-b7e1-f57c381b3740,3701 Benham Ave,Nashville,37215,615-862-5863,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,7,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_GH.jpg),#7,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1729485.17854166,647626.982708335
Hadley Park,dbada64b-8dfe-44cc-8ee3-66ad158ed299,1039 28th Ave N,Nashville,37208,615-862-5865,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,8,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_HP.jpg),#29,10:00AM,6:00 PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1726211.79666667,668415.664166674
Hermitage ,7220456e-148f-4be0-8493-aa67e28bf259,3700 James Kay Ln,Hermitage,37076,615-880-3951,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,9,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_HM.jpg),#6,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1786968.92291667,671884.899166673
Inglewood,3d2a0dfb-ad5c-4ed6-90bb-de36348ed3a3,4312 Gallatin Road,Nashville,37216,615-862-5866,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,10,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_ING.jpg),"#26 Local, #56 BRT",10:00AM,6:00 PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1754661.09104167,689678.592500001
